,Departamento,Nombre,Especie,Familia,Clase
1,Boyacá,Escarabajo Longicornio,Lycomedes Brême,Escarabajo,Insecto
2,Boyacá,Moscas de sierra,Aneugmenus Hartig,Tentredínidos,Insecto
3,Boyacá,Pseudoescorpión del género Parachernes,Parachernes J.C.Chamberlin,Chernetidae,Arácnido
4,Boyacá,Rana de cristal de las rocas,Rulyrana adiazeta,Centrolenidae,Amphibia
5,Boyacá,Garza Blanca Chica,Egretta thula,Ardeidae,Aves
6,Boyacá,Cherna,Epinephelus striatus,Serranidae,Actinopterygii
7,Boyacá,Bagre,Bagre pinnimaculatus,Ariidae,Actinopterygii
8,Boyacá,Braceador,Ateles belzebuth,Cebidae,Mammalia
9,Boyacá,Papilio acanalado de alta montaña,Pterourus cacicus,Papilionidae,Insecta
10,Boyacá,Oso andino,Tremarctos ornatus,Ursidae,Mammalia
11,Cundinamarca,Hicoteca,Trachemys callirostris,Emydidae,Reptilia
12,Cundinamarca,Gavilán pecho rufo,Accipiter striatus,Accipitridae,Aves
13,Cundinamarca,Jilguero Menor,Astragalinus psaltria,Fringillidae,Aves
14,Cundinamarca,Rana de cristal de las rocas,Rulyrana adiazeta,Centrolenidae,Amphibia
15,Cundinamarca,Garza Blanca Chica,Egretta thula,Ardeidae,Aves
16,Cundinamarca,Cherna,Epinephelus striatus,Serranidae,Actinopterygii
17,Cundinamarca,Bagre,Bagre pinnimaculatus,Ariidae,Actinopterygii
18,Cundinamarca,Braceador,Ateles belzebuth,Cebidae,Mammalia
19,Cundinamarca, Papilio acanalado de alta montaña,Pterourus cacicus,Papilionidae,Insecta
20,Cundinamarca,Oso andino,Tremarctos ornatus,Ursidae,Mammalia
